Number of nodes 5102 
     0 : -7.5000000e+00  0.0000000e+00 
     1 : -7.5000000e+00  5.0000000e+00 
     2 : -3.5000000e+00  5.0000000e+00 
     3 : -2.5000000e+00  6.0000000e+00 
     4 : -2.5000000e+00  1.5000000e+01 
     5 :  2.5000000e+00  1.5000000e+01 
     6 :  2.5000000e+00  6.0000000e+00 
     7 :  3.5000000e+00  5.0000000e+00 
     8 :  7.5000000e+00  5.0000000e+00 
     9 :  7.5000000e+00  0.0000000e+00 
    10 :  3.0000000e+00  0.0000000e+00 
    11 :  1.0866404e+00  4.8912895e+00 
    12 : -1.0866404e+00  4.8912895e+00 
    13 : -3.0000000e+00  0.0000000e+00 
    14 : -1.5000000e+00  1.0000000e+01 
    15 : -1.5000000e+00  1.2000000e+01 
    16 :  1.5000000e+00  1.2000000e+01 
    17 :  1.5000000e+00  1.0000000e+01 
    18 :  0.0000000e+00  1.3500000e+01 
    19 :  0.0000000e+00  8.5000000e+00 
    20 : -7.2000000e+00  0.0000000e+00 
    21 : -6.9000000e+00  0.0000000e+00 
    22 : -6.6000000e+00  0.0000000e+00 
    23 : -6.3000000e+00  0.0000000e+00 
    24 : -6.0000000e+00  0.0000000e+00 
    25 : -5.7000000e+00  0.0000000e+00 
    26 : -5.4000000e+00  0.0000000e+00 
    27 : -5.1000000e+00  0.0000000e+00 
    28 : -4.8000000e+00  0.0000000e+00 
    29 : -4.5000000e+00  0.0000000e+00 
    30 : -4.2000000e+00  0.0000000e+00 
    31 : -3.9000000e+00  0.0000000e+00 
    32 : -3.6000000e+00  0.0000000e+00 
    33 : -3.3000000e+00  0.0000000e+00 
    34 : -2.8933075e+00  2.7274750e-01 
    35 : -2.7905812e+00  5.3535576e-01 
    36 : -2.6916737e+00  7.8820167e-01 
    37 : -2.5964431e+00  1.0316481e+00 
    38 : -2.5047526e+00  1.2660445e+00 
    39 : -2.4164707e+00  1.4917274e+00 
    40 : -2.3314706e+00  1.7090206e+00 
    41 : -2.2496304e+00  1.9182359e+00 
    42 : -2.1708325e+00  2.1196739e+00 
    43 : -2.0949639e+00  2.3136233e+00 
    44 : -2.0219157e+00  2.5003629e+00 
    45 : -1.9515831e+00  2.6801604e+00 
    46 : -1.8838650e+00  2.8532741e+00 
    47 : -1.8186643e+00  3.0199524e+00 
    48 : -1.7558875e+00  3.1804344e+00 
    49 : -1.6954443e+00  3.3349505e+00 
    50 : -1.6372481e+00  3.4837226e+00 
    51 : -1.5812153e+00  3.6269642e+00 
    52 : -1.5272655e+00  3.7648808e+00 
    53 : -1.4753213e+00  3.8976705e+00 
    54 : -1.4253080e+00  4.0255237e+00 
    55 : -1.3771540e+00  4.1486240e+00 
    56 : -1.3307901e+00  4.2671482e+00 
    57 : -1.2861498e+00  4.3812662e+00 
    58 : -1.2431689e+00  4.4911420e+00 
    59 : -1.2017858e+00  4.5969331e+00 
    60 : -1.1619412e+00  4.6987915e+00 
    61 : -1.1235777e+00  4.7968634e+00 
    62 :  1.0497416e+00  4.9815988e+00 
    63 :  1.0053530e+00  5.0684719e+00 
    64 :  9.5379121e-01  5.1512889e+00 
    65 :  8.9542416e-01  5.2294590e+00 
    66 :  8.3066830e-01  5.3024245e+00 
    67 :  7.5998566e-01  5.3696647e+00 
    68 :  6.8388055e-01  5.4306999e+00 
    69 :  6.0289598e-01  5.4850946e+00 
    70 :  5.1760978e-01  5.5324607e+00 
    71 :  4.2863046e-01  5.5724602e+00 
    72 :  3.3659288e-01  5.6048077e+00 
    73 :  2.4215372e-01  5.6292725e+00 
    74 :  1.4598680e-01  5.6456800e+00 
    75 :  4.8778278e-02  5.6539132e+00 
    76 : -4.8778278e-02  5.6539132e+00 
    77 : -1.4598680e-01  5.6456800e+00 
    78 : -2.4215372e-01  5.6292725e+00 
    79 : -3.3659288e-01  5.6048077e+00 
    80 : -4.2863046e-01  5.5724602e+00 
    81 : -5.1760978e-01  5.5324607e+00 
    82 : -6.0289598e-01  5.4850946e+00 
    83 : -6.8388055e-01  5.4306999e+00 
    84 : -7.5998566e-01  5.3696647e+00 
    85 : -8.3066830e-01  5.3024245e+00 
    86 : -8.9542416e-01  5.2294590e+00 
    87 : -9.5379121e-01  5.1512889e+00 
    88 : -1.0053530e+00  5.0684719e+00 
    89 : -1.0497416e+00  4.9815988e+00 
    90 :  1.1235777e+00  4.7968634e+00 
    91 :  1.1619412e+00  4.6987915e+00 
    92 :  1.2017858e+00  4.5969331e+00 
    93 :  1.2431689e+00  4.4911420e+00 
    94 :  1.2861498e+00  4.3812662e+00 
    95 :  1.3307901e+00  4.2671482e+00 
    96 :  1.3771540e+00  4.1486240e+00 
    97 :  1.4253080e+00  4.0255237e+00 
    98 :  1.4753213e+00  3.8976705e+00 
    99 :  1.5272655e+00  3.7648808e+00 
   100 :  1.5812153e+00  3.6269642e+00 
   101 :  1.6372481e+00  3.4837226e+00 
   102 :  1.6954443e+00  3.3349505e+00 
   103 :  1.7558875e+00  3.1804344e+00 
   104 :  1.8186643e+00  3.0199524e+00 
   105 :  1.8838650e+00  2.8532741e+00 
   106 :  1.9515831e+00  2.6801604e+00 
   107 :  2.0219157e+00  2.5003629e+00 
   108 :  2.0949639e+00  2.3136233e+00 
   109 :  2.1708325e+00  2.1196739e+00 
   110 :  2.2496304e+00  1.9182359e+00 
   111 :  2.3314706e+00  1.7090206e+00 
   112 :  2.4164707e+00  1.4917274e+00 
   113 :  2.5047526e+00  1.2660445e+00 
   114 :  2.5964431e+00  1.0316481e+00 
   115 :  2.6916737e+00  7.8820167e-01 
   116 :  2.7905812e+00  5.3535576e-01 
   117 :  2.8933075e+00  2.7274750e-01 
   118 :  3.3000000e+00  0.0000000e+00 
   119 :  3.6000000e+00  0.0000000e+00 
   120 :  3.9000000e+00  0.0000000e+00 
   121 :  4.2000000e+00  0.0000000e+00 
   122 :  4.5000000e+00  0.0000000e+00 
   123 :  4.8000000e+00  0.0000000e+00 
   124 :  5.1000000e+00  0.0000000e+00 
   125 :  5.4000000e+00  0.0000000e+00 
   126 :  5.7000000e+00  0.0000000e+00 
   127 :  6.0000000e+00  0.0000000e+00 
   128 :  6.3000000e+00  0.0000000e+00 
   129 :  6.6000000e+00  0.0000000e+00 
   130 :  6.9000000e+00  0.0000000e+00 
   131 :  7.2000000e+00  0.0000000e+00 
   132 :  7.5000000e+00  2.9411765e-01 
   133 :  7.5000000e+00  5.8823529e-01 
   134 :  7.5000000e+00  8.8235294e-01 
   135 :  7.5000000e+00  1.1764706e+00 
   136 :  7.5000000e+00  1.4705882e+00 
   137 :  7.5000000e+00  1.7647059e+00 
   138 :  7.5000000e+00  2.0588235e+00 
   139 :  7.5000000e+00  2.3529412e+00 
   140 :  7.5000000e+00  2.6470588e+00 
   141 :  7.5000000e+00  2.9411765e+00 
   142 :  7.5000000e+00  3.2352941e+00 
   143 :  7.5000000e+00  3.5294118e+00 
   144 :  7.5000000e+00  3.8235294e+00 
   145 :  7.5000000e+00  4.1176471e+00 
   146 :  7.5000000e+00  4.4117647e+00 
   147 :  7.5000000e+00  4.7058824e+00 
   148 :  7.2077366e+00  5.0000000e+00 
   149 :  6.9297095e+00  5.0000000e+00 
   150 :  6.6652252e+00  5.0000000e+00 
   151 :  6.4136242e+00  5.0000000e+00 
   152 :  6.1742787e+00  5.0000000e+00 
   153 :  5.9465919e+00  5.0000000e+00 
   154 :  5.7299959e+00  5.0000000e+00 
   155 :  5.5239504e+00  5.0000000e+00 
   156 :  5.3279414e+00  5.0000000e+00 
   157 :  5.1414802e+00  5.0000000e+00 
   158 :  4.9641016e+00  5.0000000e+00 
   159 :  4.7953633e+00  5.0000000e+00 
   160 :  4.6348442e+00  5.0000000e+00 
   161 :  4.4821442e+00  5.0000000e+00 
   162 :  4.3368822e+00  5.0000000e+00 
   163 :  4.1986961e+00  5.0000000e+00 
   164 :  4.0672410e+00  5.0000000e+00 
   165 :  3.9421893e+00  5.0000000e+00 
   166 :  3.8232288e+00  5.0000000e+00 
   167 :  3.7100630e+00  5.0000000e+00 
   168 :  3.6024096e+00  5.0000000e+00 
   169 :  2.5048153e+00  5.9019829e+00 
   170 :  2.5192147e+00  5.8049097e+00 
   171 :  2.5430597e+00  5.7097153e+00 
   172 :  2.5761205e+00  5.6173166e+00 
   173 :  2.6180787e+00  5.5286033e+00 
   174 :  2.6685304e+00  5.4444298e+00 
   175 :  2.7269895e+00  5.3656067e+00 
   176 :  2.7928932e+00  5.2928932e+00 
   177 :  2.8656067e+00  5.2269895e+00 
   178 :  2.9444298e+00  5.1685304e+00 
   179 :  3.0286033e+00  5.1180787e+00 
   180 :  3.1173166e+00  5.0761205e+00 
   181 :  3.2097153e+00  5.0430597e+00 
   182 :  3.3049097e+00  5.0192147e+00 
   183 :  3.4019829e+00  5.0048153e+00 
   184 :  2.5000000e+00  6.0999694e+00 
   185 :  2.5000000e+00  6.2021596e+00 
   186 :  2.5000000e+00  6.3066200e+00 
   187 :  2.5000000e+00  6.4134011e+00 
   188 :  2.5000000e+00  6.5225543e+00 
   189 :  2.5000000e+00  6.6341324e+00 
   190 :  2.5000000e+00  6.7481893e+00 
   191 :  2.5000000e+00  6.8647800e+00 
   192 :  2.5000000e+00  6.9839608e+00 
   193 :  2.5000000e+00  7.1057893e+00 
   194 :  2.5000000e+00  7.2303242e+00 
   195 :  2.5000000e+00  7.3576257e+00 
   196 :  2.5000000e+00  7.4877553e+00 
   197 :  2.5000000e+00  7.6207757e+00 
   198 :  2.5000000e+00  7.7567513e+00 
   199 :  2.5000000e+00  7.8957476e+00 
   200 :  2.5000000e+00  8.0378318e+00 
   201 :  2.5000000e+00  8.1830724e+00 
   202 :  2.5000000e+00  8.3315396e+00 
   203 :  2.5000000e+00  8.4833051e+00 
   204 :  2.5000000e+00  8.6384421e+00 
   205 :  2.5000000e+00  8.7970255e+00 
   206 :  2.5000000e+00  8.9591320e+00 
   207 :  2.5000000e+00  9.1248397e+00 
   208 :  2.5000000e+00  9.2942287e+00 
   209 :  2.5000000e+00  9.4673807e+00 
   210 :  2.5000000e+00  9.6443794e+00 
   211 :  2.5000000e+00  9.8253101e+00 
   212 :  2.5000000e+00  1.0010260e+01 
   213 :  2.5000000e+00  1.0199319e+01 
   214 :  2.5000000e+00  1.0392578e+01 
   215 :  2.5000000e+00  1.0590130e+01 
   216 :  2.5000000e+00  1.0792071e+01 
   217 :  2.5000000e+00  1.0998499e+01 
   218 :  2.5000000e+00  1.1209512e+01 
   219 :  2.5000000e+00  1.1425213e+01 
   220 :  2.5000000e+00  1.1645705e+01 
   221 :  2.5000000e+00  1.1871096e+01 
   222 :  2.5000000e+00  1.2101495e+01 
   223 :  2.5000000e+00  1.2337011e+01 
   224 :  2.5000000e+00  1.2577760e+01 
   225 :  2.5000000e+00  1.2823857e+01 
   226 :  2.5000000e+00  1.3075421e+01 
   227 :  2.5000000e+00  1.3332574e+01 
   228 :  2.5000000e+00  1.3595439e+01 
   229 :  2.5000000e+00  1.3864144e+01 
   230 :  2.5000000e+00  1.4138819e+01 
   231 :  2.5000000e+00  1.4419596e+01 
   232 :  2.5000000e+00  1.4706610e+01 
   233 :  2.2058824e+00  1.5000000e+01 
   234 :  1.9117647e+00  1.5000000e+01 
   235 :  1.6176471e+00  1.5000000e+01 
