Number of nodes 346 
     0 :  1.0000000e+00  1.0000000e+00 
     1 :  1.0000000e+00 -1.0000000e+00 
     2 : -1.0000000e+00 -1.0000000e+00 
     3 : -1.0000000e+00  1.0000000e+00 
     4 :  1.0000000e+00  8.7500000e-01 
     5 :  1.0000000e+00  7.5000000e-01 
     6 :  1.0000000e+00  6.2500000e-01 
     7 :  1.0000000e+00  5.0000000e-01 
     8 :  1.0000000e+00  3.7500000e-01 
     9 :  1.0000000e+00  2.5000000e-01 
    10 :  1.0000000e+00  1.2500000e-01 
    11 :  1.0000000e+00  2.7546854e-12 
    12 :  1.0000000e+00 -1.2500000e-01 
    13 :  1.0000000e+00 -2.5000000e-01 
    14 :  1.0000000e+00 -3.7500000e-01 
    15 :  1.0000000e+00 -5.0000000e-01 
    16 :  1.0000000e+00 -6.2500000e-01 
    17 :  1.0000000e+00 -7.5000000e-01 
    18 :  1.0000000e+00 -8.7500000e-01 
    19 :  8.7500000e-01 -1.0000000e+00 
    20 :  7.5000000e-01 -1.0000000e+00 
    21 :  6.2500000e-01 -1.0000000e+00 
    22 :  5.0000000e-01 -1.0000000e+00 
    23 :  3.7500000e-01 -1.0000000e+00 
    24 :  2.5000000e-01 -1.0000000e+00 
    25 :  1.2500000e-01 -1.0000000e+00 
    26 :  2.7546854e-12 -1.0000000e+00 
    27 : -1.2500000e-01 -1.0000000e+00 
    28 : -2.5000000e-01 -1.0000000e+00 
    29 : -3.7500000e-01 -1.0000000e+00 
    30 : -5.0000000e-01 -1.0000000e+00 
    31 : -6.2500000e-01 -1.0000000e+00 
    32 : -7.5000000e-01 -1.0000000e+00 
    33 : -8.7500000e-01 -1.0000000e+00 
    34 : -1.0000000e+00 -8.7500000e-01 
    35 : -1.0000000e+00 -7.5000000e-01 
    36 : -1.0000000e+00 -6.2500000e-01 
    37 : -1.0000000e+00 -5.0000000e-01 
    38 : -1.0000000e+00 -3.7500000e-01 
    39 : -1.0000000e+00 -2.5000000e-01 
    40 : -1.0000000e+00 -1.2500000e-01 
    41 : -1.0000000e+00 -2.7546854e-12 
    42 : -1.0000000e+00  1.2500000e-01 
    43 : -1.0000000e+00  2.5000000e-01 
    44 : -1.0000000e+00  3.7500000e-01 
    45 : -1.0000000e+00  5.0000000e-01 
    46 : -1.0000000e+00  6.2500000e-01 
    47 : -1.0000000e+00  7.5000000e-01 
    48 : -1.0000000e+00  8.7500000e-01 
    49 : -8.7500000e-01  1.0000000e+00 
    50 : -7.5000000e-01  1.0000000e+00 
    51 : -6.2500000e-01  1.0000000e+00 
    52 : -5.0000000e-01  1.0000000e+00 
    53 : -3.7500000e-01  1.0000000e+00 
    54 : -2.5000000e-01  1.0000000e+00 
    55 : -1.2500000e-01  1.0000000e+00 
    56 : -2.7546854e-12  1.0000000e+00 
    57 :  1.2500000e-01  1.0000000e+00 
    58 :  2.5000000e-01  1.0000000e+00 
    59 :  3.7500000e-01  1.0000000e+00 
    60 :  5.0000000e-01  1.0000000e+00 
    61 :  6.2500000e-01  1.0000000e+00 
    62 :  7.5000000e-01  1.0000000e+00 
    63 :  8.7500000e-01  1.0000000e+00 
    64 : -6.0186127e-03  3.2345029e-03 
    65 : -4.2818257e-01  4.0888485e-01 
    66 : -3.9838041e-01 -4.2567981e-01 
    67 :  3.8989344e-01  4.2719119e-01 
    68 :  4.1663922e-01 -4.3557293e-01 
    69 :  5.5964429e-01  2.8610740e-02 
    70 : -2.5265811e-03 -5.2986570e-01 
    71 :  2.1939977e-02  5.7911008e-01 
    72 : -5.1786137e-01  1.3154015e-03 
    73 : -6.5096420e-01  6.6585229e-01 
    74 :  6.6000317e-01 -6.8665438e-01 
    75 : -6.7202266e-01 -6.5721017e-01 
    76 :  6.7225518e-01  6.5656606e-01 
    77 : -2.9686757e-01 -1.1322155e-01 
    78 :  2.7452614e-01 -1.2850491e-01 
    79 : -2.9786794e-01  7.0335725e-01 
    80 :  6.7322143e-01  2.8775677e-01 
    81 : -7.0212091e-01 -2.9619423e-01 
    82 :  2.8443727e-01 -6.6525832e-01 
    83 :  6.8971546e-01 -2.8612390e-01 
    84 :  2.7350343e-01  7.2202132e-01 
    85 : -2.6953852e-01 -7.2400032e-01 
    86 : -7.2230897e-01  3.2178907e-01 
    87 :  2.4564581e-01  1.7007685e-01 
    88 :  2.9131377e-02 -2.6576674e-01 
    89 : -2.9207598e-01  1.2049279e-01 
    90 :  1.6709689e-01  3.6339385e-01 
    91 : -1.9956777e-01 -3.5934971e-01 
    92 :  7.8654628e-02 -7.4997345e-01 
    93 :  7.9031228e-01  7.4211216e-02 
    94 : -7.5660017e-01 -1.6585768e-02 
    95 : -7.5080947e-02  7.6210815e-01 
    96 :  2.1121943e-01 -4.5923282e-01 
    97 :  4.5079447e-01  2.2186710e-01 
    98 :  4.6903831e-01 -7.8887533e-01 
    99 : -4.5298665e-01  7.6948778e-01 
   100 :  7.5943908e-01  4.4509864e-01 
   101 : -7.6783598e-01 -4.5093195e-01 
   102 :  4.6656049e-01  8.0822539e-01 
   103 : -7.8051244e-01  4.5738876e-01 
   104 :  8.0705991e-01 -4.6638444e-01 
   105 : -4.6458202e-01 -8.0857097e-01 
   106 : -2.2771856e-01  4.6332209e-01 
   107 : -4.7067269e-01 -2.2779278e-01 
   108 :  4.8738133e-01 -2.0610798e-01 
   109 :  8.6502354e-02  2.1961260e-01 
   110 : -4.9248390e-01  2.5857989e-01 
   111 :  1.5510669e-01  7.7385383e-01 
   112 : -1.4705592e-01 -7.8955715e-01 
   113 : -8.2053383e-01  1.2836724e-01 
   114 :  8.1862049e-01 -1.2103328e-01 
   115 :  4.5166522e-01 -5.6436066e-01 
   116 : -6.0007629e-01  4.5798928e-01 
   117 :  3.8233628e-01  4.1324310e-02 
   118 : -7.0449718e-02 -1.6390211e-01 
   119 :  2.0399893e-01  5.9386153e-03 
   120 :  2.1750031e-02  3.8677651e-01 
   121 : -3.1360528e-01  3.0866937e-01 
   122 :  1.4885513e-01  5.8096545e-01 
   123 : -1.0882265e-01 -5.6484772e-01 
   124 :  3.0858089e-01 -2.9477168e-01 
   125 : -6.3799905e-01  8.3984814e-01 
   126 : -8.4054423e-01 -6.3614448e-01 
   127 :  8.3932619e-01  6.3499946e-01 
   128 :  8.7380950e-01 -5.9162790e-01 
   129 : -5.8281064e-01 -8.7380893e-01 
   130 : -8.8353894e-01  6.0365835e-01 
   131 :  5.8223572e-01  8.7450901e-01 
   132 : -3.2888693e-01 -3.0584061e-01 
   133 : -2.6451707e-01  8.2686401e-01 
   134 : -8.2598097e-01 -2.6060124e-01 
   135 :  2.4939941e-01 -8.0608014e-01 
   136 :  7.8799642e-01  1.9885069e-01 
   137 : -8.6835942e-01  3.2925652e-01 
   138 : -3.8192735e-01  1.8199917e-02 
   139 :  4.4462336e-02 -1.3096350e-01 
   140 :  1.4236369e-01 -6.0430527e-01 
   141 :  3.3355375e-01 -5.3448201e-01 
   142 :  6.7332353e-01 -1.0567658e-01 
