Number of nodes 969
     0 :  2.0000000e+00  0.0000000e+00
     1 :  4.0000000e-01  0.0000000e+00
     2 :  1.9991217e+00  5.9266656e-02
     3 :  1.9964875e+00  1.1848126e-01
     4 :  1.9920997e+00  1.7759179e-01
     5 :  1.9859622e+00  2.3654634e-01
     6 :  1.9780804e+00  2.9529313e-01
     7 :  1.9684612e+00  3.5378055e-01
     8 :  1.9571130e+00  4.1195724e-01
     9 :  1.9440458e+00  4.6977209e-01
    10 :  1.9292712e+00  5.2717433e-01
    11 :  1.9128020e+00  5.8411354e-01
    12 :  1.8946527e+00  6.4053971e-01
    13 :  1.8748393e+00  6.9640327e-01
    14 :  1.8533792e+00  7.5165516e-01
    15 :  1.8302912e+00  8.0624686e-01
    16 :  1.8055957e+00  8.6013040e-01
    17 :  1.7793142e+00  9.1325847e-01
    18 :  1.7514699e+00  9.6558441e-01
    19 :  1.7220872e+00  1.0170622e+00
    20 :  1.6911920e+00  1.0676468e+00
    21 :  1.6588114e+00  1.1172935e+00
    22 :  1.6249738e+00  1.1659590e+00
    23 :  1.5897089e+00  1.2136003e+00
    24 :  1.5530477e+00  1.2601757e+00
    25 :  1.5150225e+00  1.3056442e+00
    26 :  1.4756666e+00  1.3499660e+00
    27 :  1.4350145e+00  1.3931021e+00
    28 :  1.3931021e+00  1.4350145e+00
    29 :  1.3499660e+00  1.4756666e+00
    30 :  1.3056442e+00  1.5150225e+00
    31 :  1.2601757e+00  1.5530477e+00
    32 :  1.2136003e+00  1.5897089e+00
    33 :  1.1659590e+00  1.6249738e+00
    34 :  1.1172935e+00  1.6588114e+00
    35 :  1.0676468e+00  1.6911920e+00
    36 :  1.0170622e+00  1.7220872e+00
    37 :  9.6558441e-01  1.7514699e+00
    38 :  9.1325847e-01  1.7793142e+00
    39 :  8.6013040e-01  1.8055957e+00
    40 :  8.0624686e-01  1.8302912e+00
    41 :  7.5165516e-01  1.8533792e+00
    42 :  6.9640327e-01  1.8748393e+00
    43 :  6.4053971e-01  1.8946527e+00
    44 :  5.8411354e-01  1.9128020e+00
    45 :  5.2717433e-01  1.9292712e+00
    46 :  4.6977209e-01  1.9440458e+00
    47 :  4.1195724e-01  1.9571130e+00
    48 :  3.5378055e-01  1.9684612e+00
    49 :  2.9529313e-01  1.9780804e+00
    50 :  2.3654634e-01  1.9859622e+00
    51 :  1.7759179e-01  1.9920997e+00
    52 :  1.1848126e-01  1.9964875e+00
    53 :  5.9266656e-02  1.9991217e+00
    54 :  2.3429107e-15  2.0000000e+00
    55 : -5.9266656e-02  1.9991217e+00
    56 : -1.1848126e-01  1.9964875e+00
    57 : -1.7759179e-01  1.9920997e+00
    58 : -2.3654634e-01  1.9859622e+00
    59 : -2.9529313e-01  1.9780804e+00
    60 : -3.5378055e-01  1.9684612e+00
    61 : -4.1195724e-01  1.9571130e+00
