Number of nodes 3320
     0 :  2.0000000e+00  0.0000000e+00
     1 :  4.0000000e-01  0.0000000e+00
     2 :  1.9997794e+00  2.9706640e-02
     3 :  1.9991175e+00  5.9406725e-02
     4 :  1.9980146e+00  8.9093703e-02
     5 :  1.9964708e+00  1.1876102e-01
     6 :  1.9944866e+00  1.4840214e-01
     7 :  1.9920623e+00  1.7801052e-01
     8 :  1.9891985e+00  2.0757962e-01
     9 :  1.9858958e+00  2.3710292e-01
    10 :  1.9821550e+00  2.6657391e-01
    11 :  1.9779768e+00  2.9598608e-01
    12 :  1.9733622e+00  3.2533295e-01
    13 :  1.9683123e+00  3.5460805e-01
    14 :  1.9628280e+00  3.8380490e-01
    15 :  1.9569107e+00  4.1291707e-01
    16 :  1.9505616e+00  4.4193814e-01
    17 :  1.9437822e+00  4.7086170e-01
    18 :  1.9365739e+00  4.9968138e-01
    19 :  1.9289384e+00  5.2839080e-01
    20 :  1.9208772e+00  5.5698365e-01
    21 :  1.9123922e+00  5.8545361e-01
    22 :  1.9034853e+00  6.1379440e-01
    23 :  1.8941585e+00  6.4199976e-01
    24 :  1.8844137e+00  6.7006348e-01
    25 :  1.8742531e+00  6.9797936e-01
    26 :  1.8636791e+00  7.2574124e-01
    27 :  1.8526938e+00  7.5334300e-01
    28 :  1.8412998e+00  7.8077855e-01
    29 :  1.8294995e+00  8.0804183e-01
    30 :  1.8172956e+00  8.3512683e-01
    31 :  1.8046907e+00  8.6202758e-01
    32 :  1.7916876e+00  8.8873813e-01
    33 :  1.7782893e+00  9.1525259e-01
    34 :  1.7644985e+00  9.4156513e-01
    35 :  1.7503185e+00  9.6766992e-01
    36 :  1.7357523e+00  9.9356121e-01
    37 :  1.7208032e+00  1.0192333e+00
    38 :  1.7054743e+00  1.0446805e+00
    39 :  1.6897692e+00  1.0698972e+00
    40 :  1.6736913e+00  1.0948779e+00
    41 :  1.6572441e+00  1.1196169e+00
    42 :  1.6404312e+00  1.1441090e+00
    43 :  1.6232564e+00  1.1683486e+00
    44 :  1.6057235e+00  1.1923305e+00
    45 :  1.5878363e+00  1.2160493e+00
    46 :  1.5695988e+00  1.2394998e+00
    47 :  1.5510149e+00  1.2626768e+00
    48 :  1.5320889e+00  1.2855752e+00
    49 :  1.5128248e+00  1.3081900e+00
    50 :  1.4932270e+00  1.3305162e+00
    51 :  1.4732996e+00  1.3525488e+00
    52 :  1.4530473e+00  1.3742829e+00
    53 :  1.4324743e+00  1.3957139e+00
    54 :  1.4115853e+00  1.4168369e+00
    55 :  1.3903849e+00  1.4376474e+00
    56 :  1.3688776e+00  1.4581406e+00
    57 :  1.3470684e+00  1.4783121e+00
    58 :  1.3249620e+00  1.4981575e+00
    59 :  1.3025632e+00  1.5176723e+00
    60 :  1.2798770e+00  1.5368523e+00
    61 :  1.2569085e+00  1.5556931e+00
